,,Department,,Customer Review
,,road presence,,the best road king you can get in the market right now.
,,road presence,,i must say tata harrier has absolutely best road presence.
,,road presence,,"tata harrier is the best car from tata, best road presence, this car can beatcreta, compass, mg hector."
,,road presence,,real off-road car with premium looks.
,,road presence,,"i bought this car last year still i love to drive this car anywhere and anytime its very smooth to drive and very spacious.it has very tough engine and off road car.i took my car to hilly areas because i belong to uttrakhand, twice or thrice in a year.i"
,,road presence,,jeep compass  is best off roading car jeep compass servicing is good this car is give me
,,road presence,,"hyundai creta is the best off-roading car in this budget range, i really like this car."
,,road presence,,most would say endeavour looks better and has better road presence.
,,road presence,,"an excellent car to drive, super stability and road presence."
,,road presence,,the road presence is simply amazing.
,,road presence,,the road presence is simply amazing.
,,road presence,,creta as a whole is a perfect car and it has good road presence anddynamic
,,road presence,,nice handling and very good road presence.
,,road presence,,"has great road presence. 
"
,,road presence,,it has a lot of road presence and looks massive and quite impressive for sure.
,,road presence,,its road presence is awesome and the interior is very good even though it lags behind alturas in some of the features
,,road presence,,the road presence is amazing.
,,road presence,,"due toitsbig size and theheavyweight, you feel a certain disbalance in the vehicle while driving.indeed,the vehicle is powerful butisn'tpowerful enough acceleration is moderate.fortunerhas always been about road presence."
,,road presence,,it has a very imposing road presence.
,,road presence,,"some general observations: vehicle has got nice road presence, handling is easy."
,,road presence,,"the road presence is amazing and dominates every other car in this segment.

"
,,road presence,,", it has immense road presence, absolutely droolworthy in orange shade especially the rear black strip which seems to be handled very well."
,,road presence,,"because this one definitely has an amazing road presence & tata has been successful in creating a lot of buzz about this car in the last few months. 
"
,,road presence,,"almost everyone on the road turned head to take another glimpse of the car, great road presence for sure. 
"
,,road presence,,and they sure have road presence.
,,road presence,,"the tata harrier is definitely the package of features, equipment, new-age design, best build quality, performance & the great road presence, but however is worth a wait for those looking to purchase a diesel automatic transmission sourced from hyundai and enthusiasts looking for a more punchy 170bhp for power."
